"2005-10-21T09:02:00","2005-10-21T17:19:00","Phase XML","Office"
"2005-10-24T09:15:00","2005-10-24T17:19:00","Phase XML","Office"
"2005-10-25T09:02:00","2005-10-25T17:24:00","Phase XML","Office"
"2005-10-26T09:03:00","2005-10-26T17:19:00","Citrix Brazil Doc","Office"
"2005-10-27T09:06:00","2005-10-27T17:56:00","Misc Jobs","Office"
"2005-10-28T00:00:00","2005-10-28T00:00:00","Holiday",""
"2005-10-31T09:05:00","2005-10-31T17:19:00","Citrix Problem","Office"
"2005-11-01T09:21:00","2005-11-01T18:00:00","Citrix Problem","Office"
"2005-11-02T09:16:00","2005-11-02T17:24:00","Misc Jobs","Office"
"2005-11-03T09:04:00","2005-11-03T17:23:00","Machine Procs","Office"
"2005-11-04T09:02:00","2005-11-04T17:50:00","Machine Procs","Office"
"2005-11-07T09:22:00","2005-11-07T17:23:00","Local Calcs","Office"
"2005-11-08T09:12:00","2005-11-08T17:23:00","Web Build","Office"
"2005-11-09T09:01:00","2005-11-09T17:54:00","Web Build","Office"
"2005-11-10T09:17:00","2005-11-10T17:55:00","Web Build","Office"
"2005-11-11T08:55:00","2005-11-11T13:05:00","Web Build","Office"
"2005-11-11T14:29:00","2005-11-11T18:19:00","Web Build","Office"
"2005-11-14T09:31:00","2005-11-14T13:30:00","Web Build","Office"
"2005-11-14T14:13:00","2005-11-14T18:21:00","Web Build","Office"
"2005-11-15T09:36:00","2005-11-15T17:48:00","Web Build","Office"
"2005-11-16T09:16:00","2005-11-16T17:23:00","Build Process Doc","Office"
"2005-11-17T09:05:00","2005-11-17T17:20:00","Build Process Doc","Office"
"2005-11-18T09:04:00","2005-11-18T17:30:00","Auto-Updates Process","Office"
"2005-11-21T08:59:00","2005-11-21T17:22:00","TDB Test","Office"
"2005-11-22T08:58:00","2005-11-22T17:30:00","TDB Test","Office"
"2005-11-23T09:22:00","2005-11-23T17:26:00","TDB Test","Office"
"2005-11-24T07:19:00","2005-11-24T15:21:00","TDB Test","Office"
"2005-11-25T07:35:00","2005-11-25T12:40:00","TDB Test","Office"
"2005-11-25T14:20:00","2005-11-25T17:21:00","TDB Test","Office"
"2005-11-28T09:11:00","2005-11-28T17:25:00","TDB Test","Office"
"2005-11-29T09:17:00","2005-11-29T17:26:00","TDB Test","Office"
"2005-11-30T09:46:00","2005-11-30T17:55:00","TDB Test","Office"
"2005-12-01T09:11:00","2005-12-01T17:23:00","TDB Test","Office"
"2005-12-02T09:11:00","2005-12-02T17:24:00","TDB Test","Office"
"2005-12-05T09:11:00","2005-12-05T17:23:00","System Status Page","Office"
"2005-12-06T09:03:00","2005-12-06T17:23:00","System Status Page","Office"
"2005-12-07T09:08:00","2005-12-07T17:23:00","Citrix Configuration","Office"
"2005-12-08T09:16:00","2005-12-08T12:38:00","Citrix Configuration","Office"
"2005-12-08T14:38:00","2005-12-08T18:21:00","Build Scripts","Office"
"2005-12-09T08:06:00","2005-12-09T20:20:00","Build Scripts","Office"
"2005-12-12T10:45:00","2005-12-12T17:50:00","Build Scripts","Office"
"2005-12-13T08:53:00","2005-12-13T18:23:00","Build Scripts","Office"
"2005-12-14T07:32:00","2005-12-14T12:30:00","Build Scripts","Office"
"2005-12-14T14:30:00","2005-12-14T15:54:00","Build Scripts","Office"
"2005-12-15T09:01:00","2005-12-15T18:02:00","Build Scripts","Office"
"2005-12-16T07:28:00","2005-12-16T15:50:00","EagleScheduler","Office"
"2005-12-19T00:00:00","2005-12-19T00:00:00","Holiday",""
"2005-12-20T00:00:00","2005-12-20T00:00:00","Holiday",""
"2005-12-21T00:00:00","2005-12-21T00:00:00","Holiday",""
"2005-12-22T00:00:00","2005-12-22T00:00:00","Holiday",""
"2005-12-23T00:00:00","2005-12-23T00:00:00","Holiday",""
"2005-12-26T00:00:00","2005-12-26T00:00:00","Bank Holiday",""
"2005-12-27T00:00:00","2005-12-27T00:00:00","Bank Holiday",""
"2005-12-28T07:18:00","2005-12-28T15:28:00","EagleScheduler","Office"
"2005-12-29T07:19:00","2005-12-29T15:22:00","Risk Mech Build","Office"
"2005-12-30T07:21:00","2005-12-30T15:27:00","Risk Mech Build","Office"
"2006-01-02T00:00:00","2006-01-02T00:00:00","Bank Holiday",""
"2006-01-03T07:28:00","2006-01-03T15:45:00","Risk Mech Build","Office"
